,title,source,link
0,UK Vows Not To Turn Back On Afghanistan Despite Embassy Pullout,NDTV,https://www.ndtv.com/world-news/uk-vows-not-to-turn-back-on-afghanistan-despite-embassy-pullout-2510022
1,Taliban Tighten Grip On Afghanistan As All Eyes Turn To Capital Kabul,NDTV,https://www.ndtv.com/world-news/taliban-tighten-grip-on-afghanistan-as-all-eyes-turn-to-capital-kabul-2509964
2,"Taliban Tame The ""Lion Of Herat"", Capture His Afghan City",NDTV,https://www.ndtv.com/world-news/taliban-tame-the-lion-of-herat-capture-his-afghan-city-2509948
3,"""On To Next Innings"": Unmukt Chand, 28, ""Bids Adieu"" To Indian Cricket",NDTV,https://sports.ndtv.com/cricket/unmukt-chand-bids-adieu-to-indian-cricket-at-28-says-on-to-the-next-innings-2509853
4,Vijay Hazare Trophy: Pradeep Sangwan To Lead 22-Member Delhi Squad,NDTV,https://sports.ndtv.com/cricket/vijay-hazare-trophy-pradeep-sangwan-to-lead-22-member-delhi-squad-2369531
5,"Vijay Hazare Trophy: Delhi Win, Bengal, Kerala Play Out Thriller",NDTV,https://sports.ndtv.com/cricket/vijay-hazare-trophy-delhi-win-bengal-kerala-play-out-thriller-1809926
6,"Watch: MS Dhoni, Other Chennai Super Kings Teammates Reach Dubai For IPL 2021 Resumption",NDTV,https://sports.ndtv.com/cricket/ms-dhoni-other-csk-teammates-reach-dubai-for-ipl-2021-resumption-watch-2510047
7,Raphael Varane Has To Wait But Jadon Sancho Set For Manchester United Debut: Ole Gunnar Solskjaer,NDTV,https://sports.ndtv.com/football/raphael-varane-has-to-wait-but-jadon-sancho-set-for-manchester-united-debut-ole-gunnar-solskjaer-2509987
8,"Premier League: Thomas Tuchel Expects ""Big Impact"" From Romelu Lukaku In Second Chance At Chelsea",NDTV,https://sports.ndtv.com/football/thomas-tuchel-expects-big-impact-from-romelu-lukaku-in-second-chance-at-chelsea-2509945
9,WI vs PAK: Dwayne Bravo Plays His Last International Game On Caribbean Soil,NDTV,https://sports.ndtv.com/cricket/west-indies-vs-pakistan-dwayne-bravo-plays-his-last-international-game-on-caribbean-soil-2501931
