,title,source,link
0,UK Vows Not To Turn Back On Afghanistan Despite Embassy Pullout,NDTV,https://www.ndtv.com/world-news/uk-vows-not-to-turn-back-on-afghanistan-despite-embassy-pullout-2510022
4,Vijay Hazare Trophy: Pradeep Sangwan To Lead 22-Member Delhi Squad,NDTV,https://sports.ndtv.com/cricket/vijay-hazare-trophy-pradeep-sangwan-to-lead-22-member-delhi-squad-2369531
8,"Premier League: Thomas Tuchel Expects ""Big Impact"" From Romelu Lukaku In Second Chance At Chelsea",NDTV,https://sports.ndtv.com/football/thomas-tuchel-expects-big-impact-from-romelu-lukaku-in-second-chance-at-chelsea-2509945
12,Radhika Apte's Cut-Out White Midi Dress Is The Most Chic Dress Code For Hot Days,NDTV,https://swirlster.ndtv.com/style/radhika-aptes-cut-out-white-midi-dress-is-the-most-chic-dress-code-for-hot-days-2509813
16,"""Everything Is For You"": Janhvi Kapoor Posts Childhood Memory Of Mom Sridevi On Her Birth Anniversary",NDTV,https://www.ndtv.com/entertainment/everything-is-for-you-janhvi-kapoor-posts-childhood-memory-of-mom-sridevi-on-her-birth-anniversary-2509391
20,"Court Gives Kangana Ranaut ""Last Chance"" For Exemption In Defamation Case",NDTV,https://www.ndtv.com/india-news/court-gives-kangana-ranaut-last-chance-for-exemption-in-javed-akhtar-defamation-case-2496149
24,"Thomas Tuchel Tight-Lipped As Antonio Rudiger Welcomes Addition Of ""Beast"" Romelu Lukaku",NDTV,https://sports.ndtv.com/football/premier-league-chelseas-thomas-tuchel-tight-lipped-as-antonio-rudiger-welcomes-addition-of-beast-romelu-lukaku-2507488
28,"""Your Time Starts Now"": Derek O'Brien's ""Friday The 13th"" Post Targets PM",NDTV,https://www.ndtv.com/india-news/your-time-starts-now-trinamool-congress-derek-obriens-friday-the-13th-post-targets-pm-2509712
32,"Nag Panchami 2021: Know About Date, Timings, Puja And Significance Of The Day",NDTV,https://www.ndtv.com/india-news/nag-panchami-2021-date-timings-puja-and-significance-2508744
36,Bihar Assistant Engineer (Civil) Interview For Remaining Candidates From June 25,NDTV,https://www.ndtv.com/jobs/bpsc-assistant-engineer-civil-interview-from-june-25-to-28-2456167
40,"Auto Scrapping Policy Will Boost Vehicle Sales, Create Jobs: Nitin Gadkari",NDTV,https://www.ndtv.com/india-news/auto-scrapping-policy-will-boost-vehicle-sales-create-jobs-union-minister-nitin-gadkari-2510001
44,Britney Spears Wants Father To Be Immediately Replaced As Guardian: Report,NDTV,https://www.ndtv.com/world-news/britney-spears-wants-father-to-be-immediately-replaced-as-guardian-report-2504328
48,Robert Lewandowski Finally Topples Gerd Mueller's Bundesliga Goal Record,NDTV,https://sports.ndtv.com/football/robert-lewandowski-finally-topples-gerd-muellers-bundesliga-goal-record-2447519
52,"

Netrikann review: Nayanthara shines in a safe adaptation of Korean thriller

",Times Of India,https://www.hindustantimes.com//entertainment/tamil-cinema/netrikann-review-nayanthara-manages-to-shine-in-this-too-safe-adaptation-of-korean-thriller-101628856052022.html
56,"

Denmark, Norway to shut down embassies in Afghanistan amid Taliban terror

",Times Of India,https://www.hindustantimes.com//world-news/denmark-norway-to-shut-down-embassies-in-afghanistan-amid-taliban-terror-101628877209716.html
60,"

Felt like my clothes were ripped apart: Unmukt Chand on Delhi and IPL snub

",Times Of India,https://www.hindustantimes.com//cricket/felt-like-my-clothes-were-ripped-apart-unmukt-chand-on-delhi-and-ipl-snub/story-wiZux3nnjI6k2LAWVoKXGI.html
64,"

West Indies recall Roston Chase, Brooks, Holder and rest Bravo and Gabriel

",Times Of India,https://www.hindustantimes.com//cricket/west-indies-recall-roston-chase-brooks-holder-and-rest-bravo-and-gabriel-101628751340541.html
68,"

Producer Mansi Bagla drops the first look of Forensic starring Vikrant & Radhika

",Times Of India,https://www.hindustantimes.com//brand-post/producer-mansi-bagla-drops-the-first-look-of-forensic-starring-vikrant-radhika-101627575473669.html
72,"

Janhvi Kapoor honours mom Sridevi on birth anniversary: ‘Everything is for you’

",Times Of India,https://www.hindustantimes.com//entertainment/bollywood/janhvi-kapoor-honours-mom-sridevi-on-birth-anniversary-everything-is-for-you-always-every-day-101628831021354.html
76,"

International Lefthanders Day: The list of popular lefties is way too long

",Times Of India,https://www.hindustantimes.com//bollywood/international-lefthanders-day-the-list-of-popular-lefties-is-way-too-long/story-kLQATO9HMxZOxSI75E8O8J.html
80,"

Reborn Lukaku returns to Chelsea at peak of his powers

",Times Of India,https://www.hindustantimes.com//sports/football/reborn-romelu-lukaku-returns-to-chelsea-at-peak-of-his-powers-101628821331823.html
84,"

Spanish league gets approval for multibillion-dollar deal

",Times Of India,https://www.hindustantimes.com//sports/football/spanish-league-gets-approval-for-multibillion-dollar-deal-101628820301751.html
88,"

Coronavirus pandemic: Surgical or homemade, masks mark a major shift in thinking

",Times Of India,https://www.hindustantimes.com//fashion-and-trends/coronavirus-pandemic-surgical-or-homemade-masks-mark-a-major-shift-in-thinking/story-UrabJmdN0vxBSc2sG555ZI.html
92,"

BPSC assistant engineer final result and answer key released at bpsc.bih.nic.in

",Times Of India,https://www.hindustantimes.com//education/exam-results/bpsc-assistant-engineer-final-result-and-answer-key-released-at-bpscbihnicin-101626341641826.html
96,"

Amid surging Covid cases, HP enforces travel curbs for outsiders

",Times Of India,https://www.hindustantimes.com//cities/chandigarh-news/amid-surging-covid-cases-hp-enforces-travel-curbs-for-outsiders-101628881135431.html
100,"

Govt announces vehicle scrappage policy: All you need to know

",Times Of India,https://www.hindustantimes.com//india-news/govt-announces-vehicle-scrappage-policy-all-you-need-to-know-101616078006047.html
104,"

Chennaiyin FC sign experienced Polish midfielder Ariel Borysiuk

",Times Of India,https://www.hindustantimes.com//sports/football/chennaiyin-fc-sign-experienced-polish-midfielder-ariel-borysiuk-101628580368848.html
108,"

Humour: The great indoors

",Times Of India,https://www.hindustantimes.com//brunch/humour-the-great-indoors/story-gDKzdV1lr9SVb0Vr11LIHL.html
